Nama,No telepon
ONNY CORP,62-031-5993531
Undefined,62-031-5993531
ORBITTECH,62-341-476262
P. T PABRIK TEKSTIL KASRIE,62-343-631424
P. T WARU GUNUNG INDUSTRY,62-31-70996668
P. T. ANUGERAH CENDRAWASIH SAKTI MOTOR,62-341-803299
P. T. INDAGRO CULTURA,62-31-5676429
P. T. SURIMAS RAYA SENTOSA,62-31-7319317
P.D. ADIMUR,62-31-3522255
P.D. TERUS JAYA,62-31-3727061
P.T. ERATEX DJAJA LTD.TBK.,62--++62 31 8439004
P.T. ESTICA INTERNATIONAL,62-31-7322000
P.T. INDOGOODS INDONESIA,62-31-70095892
P.T. INJA PERKASA TAMA,62-31-3717966
P.T. PRIMA TIRTO WLUYO,62-31-5341396
P.T. SURYA PLASTINDO,62-31-7508405
P.T. WIJAYA INDONESIA MAKMUR BICYCLE INDUSTRIES,62-31-7507021
PADANG,1-512-5074673 (+62-1-512-5074673)
PADANG CO.LTD,62-81-1342972
PADI KUNING GROUP,62-31-8721422
PADMA JAYA ABADI,62-21-70020552
Undefined,62-21-70020552
Undefined,62-21-70020552
Undefined,62-21-70020552
PANJI MAS,62-81-803243329
PANJI MAS TEXTILE,62-31-7507139
PANJI MAS TEXTILE,62-31-7507060
PANJI MAS TEXTILE PT,62-031-7674124
PANJI TEXTILE,62-031-7507139
PATRIA GROUP,62-31-5935814
PD. KRIDA INDONESIA MADYA,62-341-426676
PD.ALETHEIA TEKNIK SURABAYA,62-31-3540266
PELITA GUNATAMA PERSADA,62-31-7491364
PERKASA INTI JAYA MAKMUR PT,62-31-70494094
PERMATA,62-31-7343676
PILAR MAS CORPORATION,62-31-71109434
PINCUK,62-31-70800396
PING'S,+62-31-70013946
PJLENVIRO,62-31-5041315
PL LOGISTRANS,62-31-70454447
PLATINUM BERJANGKA. PT,62-31535-8429
PLATINUM CERAMICS INDUSTRY,62-31-5312358
"PM TEXTILE, PT.",62-31-71895800
PO_QYU COLLECTION & ADVERTISING,62-31-72506539
PORTRAIT,62-81-23008868
PREMIERE TANNERY,62-31-8412676
PRIMA ANJAYA SANTOSO,62-31-5945648
PRIMA UTAMA,62-31-7325607
PRIMACOMPUTER SIDOARJO,62-31-8071269
PROFESSTAMA,62-31-8475321
PT CONBLOC INDOTAMA SURYA,62-31-7414142
PT ACSM,62-341-491222
PT ADIGUNA GLOBAL TRANS,62-31-5346094
PT AGUNG SUKSES ABADI,62-31-3532685
PT ALTIA CLASSIC AUTOMOTIVE MANUFACTURING,62-31-8479484
PT ANEKA PERABOT JAYA,62-35-411322
PT ANEKA SUMBER ALAM JAYA,62-343-630631
PT ASIA JAYA,62-31-70964733
PT ASIA KOMODITI,62-31-8552065
PT BAMBU SURABAYA PERMAI,62-31-8971259
PT BINM,62-31-7348711
PT BINTA NUSANTARA,62-031-8702628
PT BONINDO ABADI,62-31-5946682
PT BROMO PANULUH STEEL,62-31-8986666
PT CAHAYA SURYA KENCANA JAYA,62-31-8493198
PT CITRA MANDIRI INTI PERKASA,62-31-8673888
PT CONBAT,62-31-8438515
PT DHARMA UPAYA,62-31-70601837
PT DOMUSINDO PERDANA,62-343-656167
PT DYNAMI,62-31-7343900
PT EKA SILVER & GOLD JEWELRY,62-31-3553277
PT EKATAMA PRIMA,62-31-5321721
Undefined,62-31-5321721
PT EVERAGE VALVES METAL,62-31-8978388
PT EXTEX INDO NUSANTARA,62-031-7316000
PT FUBORU INDONESIA,62-31-8971669
PT GARUDA NUSA INDAH JAYA,62-0321-322031
PT GCS,62-31-3985543
PT GEMILANG INDAH ALAMI,62-31-8011027
PT GEMILANG INDAH ALAMI,62-31-8011027
PT GOLDEN PHAROS LTD,62-31-7480790
PT GOLDEN SURYA MANDIRI,62-31-7391013
PT GUNUNG MARMER RAYA,62-31-5311405
"PT INDAL ALUMINIUM INDUSTRY, TBK.",62-31-8531531 ext.3453
PT INDONESIA QUALITY SERVICES,62-031-7347639
PT INDOSUBUR LANCAR PLAS,62-31-7882928
Undefined,62-31-7882928
PT INDOPLAST MAKMUR,62-31-3987081-2
PT INTERNUSA UTAMA,62-31-5933037
PT INTI DUTA LESTARI PLASINDO,62-31-8414951
PT JAVADWIPA MEDIA ADVERTINDO,62-31-8413365
PT JUARSA TUNGGAL,62-31-60182026
PT KARANG PILANG AGUNG,62-31-7664118
PT KEMBANG INDAH,62-31-3984804 Ext 37
PT KENT POWER DINAMIKA,62-031-3815092
PT KERAMIK DIAMOND INDUSTRIES,62-31-766 2581 / 766 6151
PT KHAMID INTIRAMA,62-31723-93269
PT KOPANITIA,62-31-5475050
PT KWONG,62-031-70408080
PT LABAN RAYA SAMODRA,62-31-3720360
PT LANDKRONE INDO NUTRI,62-31-3551221
PT LENY&DODY,62-380-833246
PT MADEARU EFILITE ALINDO,62-31-3724607
PT MANGGALA SAKTI,62-31-5933750
PT MANGUN JAYA MAKMUR,62-85-63579696
PT MASJAYA,62-31-811308096
PT METABISULPHITE NUSANTARA,62-31-3959393
PT MITRA SARUTA INDONESIA,62-31-897 2295
PT MITRA SARUTA INDONESIA,62-31-8977777
PT MITRA SARUTA INDONESIA,62-031-897777
PT MITRA SARUTA INDONESIA II,62-31-8977777
PT MUARA MANGGALINDO,62-31-3529339
PT MULTI MANAO INDONESIA,62-31-7507015
PT NARWASTU MAZMUR GELORA,+62-81-25619877
PT PANJI MAS TEXTILE,62-31-7507139
PT PELANGI JAYA ABADI,62-333-634574
Undefined,62-333-634574
PT PETROKIMIA GRESIK,62-31-3982200 ext 2184
PT PETROKIMIA GRESIK,62-31-3981811
PT PUTERA RACKINDO SEJAHTER,62-31-3970168
PT PUTERA RACKINDO SEJAHTERA,62-31-60111026
PT RAJAWALI TANJUNGSARI,62-031-7883494
PT RAMAGLORIA SAKTI,62-31-5464662
PT RANDU SARI,62-0341-404041
PT RAPINDO,62-321-592295
PT RIMBA SEMPANA INDONESIA,62-335-422823
PT RIPPERS FOOTWEAR,62-31-7382237
PT SARANA PINTU MAS,62-31-70741337
PT SEKAWAN INTIPRATAMA,62-31-8983888
PT SIP,62-31-8011336
PT SORINI CORPORATION TBK,62-343-631776
PT SUDHA INTERNATIONAL,62-31-8720811
PT SUMATRACO LANGGENG MAKMUR,62-31-7490468
PT SUMBER REJEKI INDAH ABADI,62-31-5317908
PT SUMINA EKSTRAKSINDO,62-31-7491512
PT SUMITA PERDANA,62-31-70911008
PT SUPARMA TBK,62-31-3539888
PT SUPERINDO UTAMA CORP,62-31-5920606
PT TAPIN COAL MINE,62-31-70522728
PT TOSHIBA INTIRAMA,62-3172393-269
PT TRI EKATAMA,62-31-5321721
PT TULUS AGRO,62-31-3990001
PT TULUS AGRO,62-31-3990001
PT TUNAS FURNITURE INDONESIA,62-31-5662386
PT WINNAR INDONESIA,62-81-23023423
PT. ACCASIA NUSANTARA INDAH / ACACIA WOOD WORKING COMPANY,62-31-7507625
PT. ADIPRIMA SURAPRINTA,62-31-8202078
PT. ADYABUANA PERSADA,62-31-532-5881
PT. ALAM JAYA,62-31-8495811
PT. ALAM SURYA BERSAMA,"62-031-71015300,8070606"
PT. ALP PETRO INDUSTRY,62-343-853308
PT. ANDALAS BANDARBUANA TRANS,62-31-3291078
PT. ANEKA JASA,62-031-3953922
PT. ANUGERAH METAL INDONESIA,62-31-60571955
PT. ANUGRAH DHARMA KENCANA,62-31-8554321
PT. ANUGRAHA MACHINERY INDONESIA,62-031-7883775
PT. ANUGRAHA MACHINERY INDONESIA,62-31-7883776
PT. ASAHIMAS FLAT GLASS TBK.,62-31-7882383
PT. ASIA TRADING,62-31-70388897
PT. AZHEYS PUTERA MANDIRI,62-31-3528960
PT. BAHAGIA IDKHO MANDIRI,62-031-7318584
PT. BAHANA AGUNG BIOTECH SURABAYA-INDONESIA,62-31-71212718
PT. BALIGOO NIAGA,62-31-3570102
PT. BAYU LESTARI,62-31-70976123
PT. BENUA JATI JAYA PRAKASA,62-031-70319370
PT. BERKAT ANUGERAH INDONESIA,62-31-70598579
PT. BEST,62-31-5450200
PT. BHIIRAWA STEEL,62-31-7491719
PT. BINANGGA LERO,62-341-571639
PT. BINTANG,62-351-462322
PT. BUMI BIRU SENTOSA,62-31-71471699
PT. BUMITAMA TRANS PRATAMA,62-031-3284484
PT. CAKRA NIAGA LANGGENG MAKMUR,62-31-7345127
PT. CHEIL JEDANG INDONESIA,62-343-482333
PT. CIPTA BINA SEHATI,"62-031-3770794, 3765629"
PT. CITA ALAM PERMAI,62-31-7663334
PT. CITRA ANUGERAH,62-31-7316917
PT. CITRANUSA KARYA SEMESTA,62-31-60453334
PT. CITRANUSA KARYA SEMESTA,62-31-8291666
PT. CREATIVE GLOBAL DESIGN PACKAGING,62-031-70219235
PT. DAFASS INDONESIA,62-31-8275978
PT. DANINI LEGE UTAMA,62-031-7877950
PT. DELTA MITRA SEMESTA,62-031-71184880
PT. DESCO ASIA ENERGY CO,+62-031-8666547
PT. DEWA RUCI AGUNG,62-031-3291276
PT. DEWATA FREIGHT INTERNATIONAL,62-31-3281000
PT. DIAN MITRA REJEKI,62-31-5622926
PT. DUNIA WAHANA TRADING,62-31-7344959
PT. DUTA BAYU CITRA,62-31-5358888
PT. DUTA WARU KENCANA,62-31-8536776
"PT. EC DIGITALS, CROP",62-315-4699880
PT. EKA MATRA TANI,62-31-70522822
PT. ELWASIA MAKMUR SENTOSA,62-31-547-9441
PT. EXTEX INDO NUSANTARA,62-031-7506000
PT. EXTEX INDO NUSANTARA,62-31-7506000
PT. FILLOMATIC GLOBAL INDUSTRIES,62-31-8484530
PT. FLASHINDO ANUGRAH PERKASA,62-31-7318196
PT. FORESTA NIAGA RAYA,62-31-8289418
PT. FORTUNA SADA NIOGA,62-031-8291784
PT. FORTUNTEX JAYA,62-31-70577998
PT. FORTUNTEX JAYA,62-31-7326980
PT. FORTUNTEX JAYA,62-31-8978732
PT. GARDA INDONESIA UTAMA,62-81-79312678
PT. GARUDA TOP PLASINDO,62-31-8432066
PT. GITABUWONO ADIMITRA,62-31-3538497
PT. GLEN NEVIS GUNUNG TERONG,62-31-70193670
PT. GLOBAL FREIGHT CONSOLIDATAMA,62-21-5326026
PT. GLOBAL MAS PERKASA,62-31-70259135
Undefined,62-31-70259135
PT. GLOBAL STONE INDONESIA,62-31-7344841
PT. GLOBALINDO PRIMA SURYA,62-31-5462185
PT. GOLDEN FOOTWEAR INDOTAMA II,62-31-8910530
PT. GOLDEN STONE INDONESIA,62-31-7344841
PT. GOLDEN STONE INDONESIA,62-31-7344841
PT. GUENTNER INDONESIA,62-343-295188
PT. H.P. METALS INDONESIA,62-321-619277-78
PT. HADEKA FEEDMILL,62-343-655586
PT. HEAVEN CHEMICAL INDONESIA,62-31-3553177
PT. HP METALS INDONESIA,62-0321-619277
PT. HP METALS INDONESIA,62-321-619277
PT. IDOLA OVERSINDO,62-355-323247
PT. IKAN DORANG,62-31-3550124
PT. IMPACT INDONESIA,62-31-8430276
PT. INDAL ALUMINIUM INDUSTRY,62-31-8536993
PT. INDAL ALUMINUM INDUSTRY,62-31-8536993
PT. INDO FURNITAMA RAYA,62-343-424470
PT. INDO GOLDEN STANDARD,+62-31-5030090
PT. INDO PERTAMA,62-341-483765
PT. INDOBENT WIJAYA MINERAL,62-81-330886381
PT. INDONESIA ETERNAL MACHINERY,62-31-7493633
PT. INDONESIA KARYA UTAMA,62-31-7496100
PT. INDOPICRI,62-21-55769926
PT. INDOPRIMA GEMILANG,62-31-7491044
PT. INDOPRIMA GEMILANG,62-31-60026008
PT. INDOWIJAYA,62-031-70170979
PT. INDRACO,62-31-7346819
PT. INDUSTRI COLLAGEN INDONESIA,62-343-614725
PT. INNIJOA (PMA),62-31-7344959
PT. INNOPACK,62-343-632921
PT. INTIMAS ABADI,62-31-8705547
PT. ITAMARAYA GOLD INDUSTRI,62-31-8431829
PT. JACOB'S SHIPBROKERS,+62-341-755 1991
PT. JASNITA TELEKOMINDO,62-31-7349069
PT. JAVA INDUSTRI,62-31-5459267
PT. JAVA SEAWEED,62-31-8161766
PT. JAYKAY FILES INDONESIA,62-031-8912712
PT. JELITA ANUGERAH,62-321-591545
PT. JERINDO SARI UTAMA,62-31-5672121
PT. KAIBON INDAH,62-0351-458888
PT. KARYA MAKMUR,6281--357511881
PT. KARYA MULIA INDAH,62-31-3529658
PT. KAWAN KITA SEJATI,62-31-5359999
PT. KMAD,62-31-7310289
PT. KML,62-031-8831605
PT. KRISANTHIUM OFFSET PRINTING,62-31-8438182
PT. KUMAFA LAGUN MARINE,62-031-72669235
PT. LABAN RAYA CAKRAWALA,62-31-3720360
PT. LABAN RAYA SAMODRA,62-31-3720360
PT. LINTAS NUSA,62-031-5670760
PT. LINTAS SEPAKAT CHEMINDO RAYA,62-31-70997929
PT. MAHAKARYA ROTANINDO,62-31-3985633
PT. MANOHARA ASRI,62-31-8982314
PT. MCL,62-31-8413748
PT. MEDIA AKSARA GLOBALINDO,62-31-70511447
PT. MEGATEL INDONESIA,+62-31-60518873
PT. MERCU GRAMARON,62-31-3556666
PT. METROLIFE.COM,62-31-3725088
PT. MILATRONIKA KARYA NIAGA,62-31-5680789
PT. MINATAMA SUMBER BAHARI,62-031-8957943
PT. MIRANTI ADHI PERSADA,62-31-5630872
PT. MITRA KABEL INDONESIA,62-31-5670760
PT. MITRA NIAGA JAYA MANGGALA,62-31-5044699
PT. MITRA SARUTA,62-31-8972489
PT. MITRA SARUTA INDONESIA,62-31-8977777
PT. MITRA SARUTA INDONESIA,62-31-8977777
PT. MITRA SARUTA INDONESIA,62-31-8977777
PT. MITRA SARUTA INDONESIA,62-31-8971323
PT. MITRA SARUTA INDONESIA,62-31-8977777
PT. MITRA SARUTA INDONESIA,62-031-8977777
PT. MITRA SARUTA INDONESIA,"62-31-8977777, 8971323"
PT. MITRA SARUTA INDONESIA,62-31-8977777
PT. MITRA SARUTA INDONESIA,62-31-8977841
PT. MITRA SARUTA INDONESIA,62-31-8977841
PT. MITRA SARUTTA INDONESIA,62-31-8977777
PT. MITRA YASA,62-31-7407156
PT. MULTI ARTHAMAS GLASS INDUSTRY,62-31-8702374
PT. MULTI ASRIPUSAKA SEJATI,62-31-7344140
PT. MULTI INTERNATIONAL TRADING,62-31-8554558
PT. MUSTIKA GLOBAL STATIONERY,62-31-70602905
PT. NUANSA ALAM,62-85-63111211
PT. NUGRAHA ARTA KENCANA,+62-31-3528416
PT. NUSANTARA CITRA ALAM RAYA,62-031-5359999
PT. OCTA MITRANUSA PERSADA,62-341-399330
PT. OSMO CEMENT INDONESIA,62-31-8419207
PT. PABRIK KERTAS INDONESIA,62-31-3716173
PT. PABRIK KERTAS TJIWI KIMIA,62-321-388703
PT. PABRIK KERTAS TJIWI KIMIA TBK,62-321-388822
PT. PANGGUNG ELECTRIC CITRABUANA,62-31-8532003
PT. PANJI MAS TEXTILE,62-31-71226587
PT. PANJI MAS TEXTILE,62-812-1628453
PT. PANJI MAS TEXTILE,62-31-7507139
PT. PANJI MAS TEXTILE,62-31-7507139
PT. PANJI MAS TEXTILE,62-31-7507139
PT. PANJI MAS TEXTILE,62-31-7507139
PT. PANJI MAS TEXTILE,62-31-7507139
PT. PANJI MAS TEXTILE,62-31-7507202
PT. PARTIWA UNGGUL ABADI,62-31-3553131
PT. PASIR PRIMA COAL,62-31-70667877
"PT. PERKASA MAKMURWOOD & JL. MARGOMULYO 40 SURABAYA, INDONESIA",62-31-7491177
PT. POLOWIJO GOSARI,62-31-5673500
PT. PRADHA KARYA PERKASA (PRAKARSA) RECYCLING,62-321-597027
PT. PRIMA ALLOY STEEL UNIVERSAL,62-31-8537088
PT. PRIMAFENDO PANGAN MAKMUR,62-31-5357484
PT. PRIMATALIM ABADI,62-31-3819349
PT. PRIMERA KARSA FORINDEX,62-31-5036164
PT. PURA AGUNG,62-31-70601299
PT. RAJAWALI LINTAS BUANA,62-31-3535017
PT. RAMBI AGUNG,62-331-711122
PT. RHOAD MUSICAL INSTRUMENT,62-81-23201776
PT. RIMBA SEMPANA INDONESIA,62-335-422823
PT. RODI 99 MANDIRI,62-031-7407007
PT. ROJO INTERNATIONAL,+62-031-60266292
PT. ROYAL FISHERIES INDONESIA,62-343-855277
PT. SAPURA JAYA,62-31-60180234
PT. SATELIT SRITI,62-31-5611033
PT. SATMITA JAYA ABADI,62-31-8924167
PT. SEGORO EKOMULYO TEXTILE,62-31-8977843
PT. SEKAR ALAM,62-31-5671371
PT. SEKAR LAUT TBK,62-31-8921036
PT. SEMBADA TAWAS MURNI,62-81-1363719
PT. SENG FONG MOULDING PERKASA,62-321-867222
PT. SIAN LIEP BUMI PERSADA,62-31-749 8563 - 65
PT. SIANTAN KEMBANG,62-31-3294832
PT. SIANTAN KEMBANG,062-031-3283458
PT. SIANTAN KEMBANG,62-031-3294832
PT. SINAR BARU ABADI,62-321-366164
PT. SINAR KENCANA MAS,62-031-7524794
PT. SOEDALI SEJAHTERA,62-0343-632946
PT. SONG & CO. INDONESIA,62-31-5679333
PT. SONGGOLANGIT HERBAL INDONESIA,+62-31-7674124
PT. SPEDA CLUB,62-31-876261
PT. SUKSES JAYA MAKMUR,62-31-8547202
PT. SUKSES LAUTAN INDONESIA (SULINDO),+62-31-3555260
PT. SUMBER ALAM MAKMUR,62-31-60584157
PT. SUMBER BENING LESTARI,62-31-5465073
PT. SUMBER CIPTA TEKNIK,62-31-8715336
PT. SUMBER WILIS SERAYA,62-31-8663608
PT. SUN TOY,62-343-634583
PT. SUPRA RAGA TRANSPORT,62-31-7499230
PT. SURABAYA WIRE,62-31-7507081
PT. SURYA BAJA SENTRAL ANUGERAH,62-31-8533250
PT. SURYA INDOALGAS,62-31-5482003
PT. SUTRA UTAMA ABADI,62-31-8661933
PT. TIARA SURYA ABADI,62-31-8011217
PT. TOTAL MULTINDO,62-31-8202101
PT. TRANS BUANA INDONESIA,62-31-5014412
PT. TRANSGLOBAL LOGISTINDO,"62-31-3987415, 3987751"
PT. TRI JAYA MAS,62-31-71183473
PT. TRIESTAN INDONESIA,62-31-7523250
PT. TRIGAMA LIMESTONE INDUSTRY,62-356-811809
PT. TUJU KUDA HITAM SAKTI,62-31-3957722
PT. TULUS AGRO,62-031-3990001
PT. TUNAS BAKTI COAL,62-081-553069312
PT. UBITAL,62-31-8497708
PT. UNISLING ELOK PERDANA,62-31-7507034
PT. UTAMA MITRA SENTOSA,62-031-70263669
PT. VARIA AGUNG TASEPITA,62-31-7483215
PT. WAHANA SATYA BARUNA,62-31-3286596
PT. WARINGIN INTERNUSA JASA PRATAMA,62-031-3545355
PT. WARU GUNUNG INDUSTRY,62-31-766 1791
PT. WASKITA NIAGA,62-818-382321
PT. WEILBURGER COATINGS INDONESIA,62-31-3953536
PT. WINDU LAUT,62-333-510039
PT. WINGS SURYA,62-31-5320220
PT. ZONWIN HOMAN,62-81-132 9979
PT.ADE JAYA ABADI,62-343-655081
PT.ANEKAJASA KOSMOPOLITAN,62-031-7347434
PT.ASIA FOOD INDONESIA,062-31-5966983
PT.BUANA LABELINDAH,62-31-8683422
PT.CATUR KARSA,62-31-3810704
PT.CITA ALAM PERMAI,62-031-7663102
PT.DELTA MINA JAYA,62-31-8958792
PT.ELMIRA CORP,62-31-70980894
PT.EVANTRADE AND INDUSTRY,62-31-3555134
PT.FOOD INDO,62-858-35685
PT.FORESTRIA INDAH GEMILANG,62-341-425938
PT.GOLDEN STONE INDONESIA,62-31-7348481
PT.GRAMEDIA RICE ROOKER,62-21-8732517
PT.GUENTNER INDONESIA,62-343-295100
PT.IMPERIUM CENTREBIZ,62-81-79310688
PT.INDO BOATS PANGANDARAN,62-31-445362
PT.INDO DIAMOND THREAD,62-31-3820991
PT.INSAN CITRAPRIMA SEJAHTERA,62-31-8533802
PT.JAGUNG HIBRIDA SULAWESI,62-331-325588
PT.JAYA MULYA PERKASA,62-31-8490334
PT.KARYA MUDA INDONESIA,62-0888-3320263
PT.KASIN,62-341-323615
PT.KEJAYAAN,62-31-8534021
PT.MITRA KABEL INDONESIA,62-031-531627
PT.MITRA SAUDARA INDOSENGON,62-31-70903316
PT.OKAMOTO INDONESIA,62-31-7311584
PT.PANJI MAS TEXTILE,62-31-7507060
PT.PANJI MAS TEXTILE,62-31-7507060
PT.PANJI MAS TEXTILE,62-31-7507060
PT.OCEAN GEMINDO,62-343-851386
PT.PANJIMASTEXTILE,62-031-7507060
PT.RENDI SEJAHTERA,62-31-60731717
PT.RICHINDOCITRAHANDAL,62-024-8319492
PT.SEGARA LAJU PERKASA,62-31-3286756
PT.SEGORO ECOMULYO TEXTILE,62-31-8977777
PT.SINGATA SENI KARYA,62-31-8673617
PT.SOPANUSA TISSUE,62-31-3715556
PT.STEEL PIPE INDUSTRY OF INDONESIA,62-31-5320921
PT.SUMBER PANGAN NUSANTARA,62-31-8961242
PT.SUPARMA TBK,62-31-3539888
PT.TIMOR MARMER INDUSTRY,62-31-5321001 ext 7211
PT.TOHITINDO MULTICRAFT INDUSTRIES,62-31-8972275
PT.TRANSLINDO PARAGON CONTINENTAL SEAFOODS INDONESIA,62-31-8284032
PT.ZUMPALABBU SOUTH LOGISTICS,62-31-72109330
PTG SURABAYA,62-31-70169996
PUJI JATMIKO,62-31-60721345
PURIJAYA ABADI,62-31-5928344
PURNAMADJAYAFLOWERS,62-31-3550052
PUSAKA INDONESIA,62-31-8276041
PUSAKA INDONESIA,62-31-72040180
PUTRA JAYA HARFLEX,62-31-71206861
PVC SURABAYA,6231-71472348-085232075277
Q_PUNX STONE,62-31-8435975
QN_ART FURNITURE AND CRAFT,62-31-71115205
QUEENBEE HOME GALLERY,62-031-8499240
RAHARDJO TOKO MAS,62-341-268162
RAINDO PUTRA LESTARI,62-343-425631
RAJA MAS AGUNG,62-31-70980297
RAJA MAS AGUNG,62-31-70980297
RAJAWALI BOAN HASANGAPON,62-817-03224234
RAJAWALI KARYA TAMA,62-341-7787991
RAJAWALI LINTAS BUANA,62-31-72051601
RAJAWALI SAKTI ELECTRONIC INDONESIA,62-031-7318512
"RAKINDO UTAMA MAKMUR, PT",62-343-424470
RAKUDA,62-31-5039907
Undefined,62-31-5039907
RATSON SHIPYARD,62-31-5677256
RAVVALI INDONESIA,62-31-3555666
RELIABLE PARTNER FOR TRADING IN INDONESIA,62-852815-87788
REMPAH SARI,62-341-347400
Undefined,62-341-347400
RESTU FOOD INDUSTRY,62-31-70207168
REZA INTERNATIONAL,62-031-3285425 /3285426
RHINO MEGA MULTI PLAST PT.,62-31-898 8281
RHINO MEGA MULTI PLAST PT.,62-31-8988280
RICHARD ARTHUR. CV,62-31-70981813
RICKI CORP,62-31-60339399
RIMBA SAMUDERA CV,62-31-70506860
RODA TANI CV,62-341-5440557
ROSONO PLASTIK,62-31-5461628
"ROTAN SARI INDONESIA, PT.",62-31-7315477
ROTARY GRAPHICS,62-031-7314586
"ROTUR AGUNG PERSADA, CO",62-031-7411706
RUKUN JAYA PTY LTD,62-31-5947777
SAGI PURNI,62-81-803833915
SAHABAT RUBBER INDUSTRY,62-341-6256481
SAKURA TRADING,62-31-71076000
SAMUDRA,62-31-3543858
SAMUDRA KS,62--816502822
"SANG HYANG TUNGGAL, CV",62-354-7005059
SANTOS CASSAVA,62-031-7340924
SAPINDUSMUKOROSSI,62-0343-611632
Undefined,62-0343-611632
SATU TONGKAT,62-31-708438007
SAWUNGGALING,62-31-71023535
SBP INDONESIA,62-31-70307030
SCE LOGISTICS INDONESIA,62-31-70979097
SCOOTER KARANGANYAR,62-0271-493543
SEA HARVEST,+62-31-3987101
SECUREWARES,62-031-70588605
SEKAR JAYA,62-31-3521203
SEKAR NUSANTARA,62-31-8066066
Undefined,62-31-8066066
SELARAS INTERNATIONAL LEATHER INDONESIA,62-031-8481492
SEMAR GROUP,62-31-3555926
SERABUTKELAPA,62-31-60292680
SEXY ANGEL FASHION,62-031-8472468
SHANGHAI BOTON BUILDING MATERIAL LTD,62-31-7327005
SHANGHAI ENTERPRISE,62-31-7313562
SHINMAS JAYA BAHARI,62-31-71962516
SHINY EMERALD,62-31-8665016
SHIPATURE MINIATURE CRAFT,62-31-5996303
SILVER CRAFTINDO,62-31-71190740
SINAR BAJA ELECTRIC,62-31-7406771
SINAR BATU ALAM,62-31-8948462
SINAR JAYA PRIMA,62-31-3533371
SINAR MENTARI TERANG,62-31-70619808
SINERGI CONSULTING,62-811-336389
SINGA YEHUDA PERKASA,62-888-5229728
SJV SURABAYA,62-31-70997686
SLMSURABAYA,62-31-60153333
SME CENTER SIDOARJO,62-31-8054361
SNEL AQUATIC FOODS CO.LTD,62-341-493646
SONGGEX CORP.,62-031-71351886
SONNY HERLAMBANG,62-813-57888558
SOUTH EAST TRADING COMPANY,62-31-70241356
SPAT-INDONESIA,62-341-428717
Undefined,62-341-428717
STEVE TRADING CO,+62-341-482336
STONEOJ,62-31-72086249
SUBUR MAZMUR ABADI,62-31-5935860
SUBUR TOYS,62-31-70707722
SUDI JAYA TEKNIK,62-031-5044554
SUINKO JAYA ABADI,62-31-7346082
SUKSES MANDIRI,62-31-8910722
SUMBER HUTAMA,62-31-70018123
SUMBER JAYA,62-21-6680182
SUMBER MURAH JAYA AND SUMBER ALAM MANDIRI,62-31-3520858 71910059
SUMBER PLASTIK,62-31-8987777
Undefined,62-31-8987777
SUMBER YALA SAMUDRA,62-31-5920606
SUMPILESHOP,62-341-5485503
SUNEXIM,62--031-081 2350 4022
SUNSHINE PLASTICS,62-31-70407879
"SUPA CAHAYA ASIA, CO. LTD.",62-31-5314752
SUPARMA,62-31-3539888
SUPERB HERBS,62-81-330612588
"SURYA JAYA NUSANTARA, PT",62-31-3547281
SURYA MAKMUR,62-31-7481979
SURYA PERMATA CITRA,62-31-70933939
"SURYA PLASTINDO, P.T",62-031-5636369
SURYA WIRATAMA,62-31-45555665
SURYA_DIGITAL60263 LTD,62-031-5020468
"SURYATAMA MEGA CEMERLANG, PT.",62-31-7991500
SUTINDO CHEMICAL INDONESIA,62-31-7496800
SUTINDO CHEMICAL INDONESIA PT.,62-31-7496800
SUYONO KIJAN,62-355-7709219
TACINDO,62-31-3550305
TALENTA,62-81-803122772
TASHIKA TRADING INTERNATIONAL,62-031-8948416
TAZBATLAW,62-31-8714813
TEA BEDALI INDUSTRY,62-31-8050810
TEJA UTAMA AGRIUSAHA,62-335-424218
TEJAPERKASA AGRICHEM INDONESIA LTD,62-31-8714007
TEMPORARY,+62-31-7090883
TFC MASPION INDONESIA PT,62-31-3541040
THERMA EDELWA CV.,62-31-8295857
TIGA BERLIAN,62-031-70617052
TIGA MUTIARA RUKUN SENTOSA,62-341-823256
TIRTASANI,62-341-416800
TITOEZ SHOP,62--8155023529
TIWI'S QC COMPANY,62-341-7379001
TOGATOROP REFRIGERATOR COMPANY,62-31-567482
TOKO KEMPING MOUNTAIN,62-341-325622
TOKOGARUDARAYA,6231-70684070-08123595201
TONGHAI INTERNATIONAL,62-31-70611948
TOP LOGISTIC,62-81-7597358
TOP TEN MANDIRI,62-0341-7576354
TOPSII,62-31-70999345
TOYZAHOLIC MALANG,62-0341-5403353
"TRADE CENTER INDONESIA,INC.",62-321-510339
TRADING_CENTER,62-888-5126118
TRANS OCEAN PACIFIC LOGISTIC,62-31-3535967
TRI JAYA ABADI,62-81-65415256
TRI MEGAH PERKASA,62-31-70978823
TRI TUNGGAL JAYA,62--08123220273
TRI TUNGGAL PERKASA,62-31-3722268
TRIANTAMA PERSADA,062-031-5999564
TRIMAKMUR PERSADA JAYA CO,62-31-8066066
TRIMAKMUR PJ CO,62-31-8066066
TRINITY BARA MANDIRI,62-341-580481
TRISEN CORPORATION,62-31-8419641
TRISTAR LTD.,62-31-70992108
TULUS TRI TUNGGAL,62-31-3990001
TUNGGORONO,62-31-8664231
U.D PELITA INDAH,62-31-3521661
